2023-05-16T19:03:06,875 [main] INFO  c.n.d.DiscoveryClient                              - Registered Applications size is zero : true
2023-05-16T19:03:06,875 [main] INFO  c.n.d.DiscoveryClient                              - Application version is -1: true
2023-05-16T19:03:06,875 [main] INFO  c.n.d.DiscoveryClient                              - Getting all instance registry info from the eureka server
2023-05-16T19:03:07,327 [main] INFO  c.n.d.DiscoveryClient                              - The response status is 200
2023-05-16T19:03:07,329 [main] INFO  c.n.d.DiscoveryClient                              - Starting heartbeat executor: renew interval is: 30
2023-05-16T19:03:07,331 [main] INFO  c.n.d.InstanceInfoReplicator                       - InstanceInfoReplicator onDemand update allowed rate per min is 4
2023-05-16T19:03:07,335 [main] INFO  c.n.d.DiscoveryClient                              - Discovery Client initialized at timestamp 1684243987335 with initial instances count: 0
2023-05-16T19:03:07,338 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry                  - Registering application RECIPIENT-MICROSERVICE with eureka with status UP
2023-05-16T19:03:07,339 [main] INFO  c.n.d.DiscoveryClient                              - Saw local status change event StatusChangeEvent [timestamp=1684243987339, current=UP, previous=STARTING]
2023-05-16T19:03:07,340 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.n.d.DiscoveryClient                              - DiscoveryClient_RECIPIENT-MICROSERVICE/192.168.1.4:recipient-microservice:9002: registering service...
2023-05-16T19:03:07,341 [main] INFO  o.a.c.h.Http11NioProtocol                          - Starting ProtocolHandler ["http-nio-9002"]
2023-05-16T19:03:07,375 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.n.d.DiscoveryClient                              - DiscoveryClient_RECIPIENT-MICROSERVICE/192.168.1.4:recipient-microservice:9002 - registration status: 204
2023-05-16T19:03:07,495 [main] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat started on port(s): 9002 (http) with context path ''
2023-05-16T19:03:07,496 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration          - Updating port to 9002
2023-05-16T19:03:07,507 [main] INFO  c.C.R.RecipientMServiceApplication                 - Started RecipientMServiceApplication in 7.95 seconds (process running for 10.701)
2023-05-16T19:03:13,047 [main] INFO  c.C.R.S.I.RecipientDetailsImpl                     - Recipient Details Registered!
2023-05-16T19:03:37,330 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient                              - Disable delta property : false
2023-05-16T19:03:37,330 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient                              - Single vip registry refresh property : null
2023-05-16T19:03:37,331 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient                              - Force full registry fetch : false
2023-05-16T19:03:37,331 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient                              - Application is null : false
2023-05-16T19:03:37,331 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.n.d.DiscoveryClient                              - Registered Applications size is zero : true
